census_tract_number,Asian,Black_or_African_American,Hispanic_or_Latino,White,minority_population,n,census_tract_id,white_population,white_application_percentage,white_application_population_delta
101,0.25,0,0.075,0.675,42.2599983215332,40,010100,57.7400016784668,67.5,9.759998321533203
102,0.078125,0.140625,0.078125,0.703125,58.2599983215332,64,010200,41.7400016784668,70.3125,28.572498321533203
103,0.1724137931034483,0.10344827586206896,0.034482758620689655,0.6896551724137931,79.87000274658203,29,010300,20.12999725341797,68.96551724137932,48.83551998796135
104,0.03508771929824561,0.8245614035087719,0,0.14035087719298245,92.95999908447266,57,010400,7.040000915527344,14.035087719298245,6.995086803770901
105,0.12987012987012986,0.07792207792207792,0.09090909090909091,0.7012987012987013,57.400001525878906,77,010500,42.599998474121094,70.12987012987013,27.529871655749034
106,0.13725490196078433,0.06862745098039216,0.0196078431372549,0.7745098039215687,41.65999984741211,102,010600,58.34000015258789,77.45098039215686,19.110980239568974
107,0.18518518518518517,0,0.14814814814814814,0.6666666666666666,29,27,010700,71,66.66666666666666,-4.333333333333343
108,0.5,0,0.25,0.25,36.02000045776367,4,010800,63.97999954223633,25,-38.97999954223633
109,0,1,0,0,98.55000305175781,1,010900,1.4499969482421875,0,-1.4499969482421875
110,0.07692307692307693,0.12307692307692308,0.06153846153846154,0.7384615384615385,38.709999084472656,130,011000,61.290000915527344,73.84615384615385,12.55615293062651
111,0.027777777777777776,0.4166666666666667,0.05555555555555555,0.5,92.839996337890625,72,011100,7.160003662109375,50,42.839996337890625
